$trial	$correctkey	$drift_stimuli	$fundoesquerda	$fundodireita	$alvos
string	string	string	string	string	string
"1"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE1.png"	"R"
"2"	"Left"	"mirablue.png"	"FUNDOCE2.png"	"FUNDO1.png"	"L"
"3"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE3.png"	"R"
"4"	"Left"	"mirablue.png"	"FUNDOCE4.png"	"FUNDO1.png"	"L"
"5"	"Left"	"mirablue.png"	"FUNDOCE5.png"	"FUNDO1.png"	"L"
"6"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE6.png"	"R"
"7"	"Left"	"mirablue.png"	"FUNDOCE7.png"	"FUNDO1.png"	"L"
"8"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE8.png"	"R"
"9"	"Left"	"mirablue.png"	"FUNDOCE9.png"	"FUNDO1.png"	"L"
"10"	"Left"	"mirablue.png"	"FUNDOCE10.png"	"FUNDO1.png"	"L"
"11"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE11.png"	"R"
"12"	"Left"	"mirablue.png"	"FUNDOCE12.png"	"FUNDO1.png"	"L"
"13"	"Left"	"mirablue.png"	"FUNDOCE13.png"	"FUNDO1.png"	"L"
"14"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE14.png"	"R"
"15"	"Left"	"mirablue.png"	"FUNDOCE15.png"	"FUNDO1.png"	"L"
"16"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE16.png"	"R"
"17"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE17.png"	"R"
"18"	"Left"	"mirablue.png"	"FUNDOCE18.png"	"FUNDO1.png"	"L"
"19"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE19.png"	"R"
"20"	"Left"	"mirablue.png"	"FUNDOCE20.png"	"FUNDO1.png"	"L"
"21"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE21.png"	"R"
"22"	"Left"	"mirablue.png"	"FUNDOCE22.png"	"FUNDO1.png"	"L"
"23"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE23.png"	"R"
"24"	"Left"	"mirablue.png"	"FUNDOCE24.png"	"FUNDO1.png"	"L"
"25"	"Left"	"mirablue.png"	"FUNDOCE25.png"	"FUNDO1.png"	"L"
"26"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE26.png"	"R"
"27"	"Left"	"mirablue.png"	"FUNDOCE27.png"	"FUNDO1.png"	"L"
